Screen size,Screen type,Chip,RAM,ROM,Batery,OS,Screen resolution,Price,Mobile network,Camera count,Camera max MP
6.7,OLED,apple,6144.0,262144.0,4325.0,ios,3566952.0,38000,5.0,0,108.0
6.7,AMOLED,snapdragon,8192.0,262144.0,3300.0,android,2604960.0,20590,5.0,0,108.0
6.7,OLED,apple,6144.0,1048576.0,4325.0,ios,3566952.0,44000,5.0,0,108.0
6.5,IPS LCD,mediatek,4096.0,131072.0,5000.0,android,1152000.0,4350,5.0,0,108.0
6.51,IPS LCD,mediatek helio,4096.0,131072.0,5000.0,android,1152000.0,4300,5.0,0,108.0
6.39,PLS TFT LCD,mediatek helio,2048.0,65536.0,4020.0,ios,2527200.0,2990,5.0,0,108.0
4.7,Liquid Retina,apple,4096.0,131072.0,1820.0,ios,1000500.0,12990,5.0,0,108.0
6.1,OLED,apple,4096.0,262144.0,3110.0,ios,1483776.0,19000,5.0,0,108.0
6.52,IPS LCD,unisoc,2048.0,32768.0,2950.0,ios,1152000.0,2090,5.0,0,108.0
5.4,OLED,apple,4096.0,131072.0,2406.0,ios,2527200.0,16000,5.0,0,108.0
6.5,IPS LCD,apple,8192.0,131072.0,5000.0,android,2592000.0,5590,5.0,0,108.0
6.53,IPS LCD,mediatek helio,4096.0,65536.0,5020.0,android,2592000.0,2950,5.0,0,108.0
6.5,PLS TFT LCD,apple,4096.0,65536.0,5050.0,ios,2604960.0,2990,5.0,0,108.0
6.4,PLS TFT LCD,exynos,2048.0,131072.0,4100.0,ios,4262400.0,12400,5.0,0,108.0
6.8,AMOLED,snapdragon,16384.0,262144.0,5050.0,android,2592000.0,18590,5.0,0,108.0
6.44,PLS TFT LCD,snapdragon,8192.0,131072.0,4000.0,android,2592000.0,6500,5.0,0,108.0
6.53,IPS LCD,mediatek helio,3072.0,65536.0,5000.0,android,1152000.0,2890,5.0,0,108.0
6.5,IPS LCD,snapdragon,4096.0,65536.0,6000.0,android,1123200.0,3490,5.0,0,108.0
6.82,IPS LCD,snapdragon,3072.0,32768.0,6000.0,android,1152000.0,2490,5.0,0,108.0
6.8,AMOLED,snapdragon,16384.0,262144.0,5050.0,android,2592000.0,18990,5.0,0,108.0
6.67,AMOLED,snapdragon,12288.0,262144.0,4200.0,android,2592000.0,13490,5.0,0,108.0
6.53,PLS TFT LCD,snapdragon,6144.0,131072.0,6000.0,android,2527200.0,4400,5.0,0,108.0
6.7,AMOLED,snapdragon,12288.0,262144.0,4200.0,android,4561920.0,18990,5.0,0,108.0
